Refactoring Type,Source File,Model,Split,Pos Train,Neg Train,Accuracy,TN,TP,FN,FP,Model Params,Approach,Type Split,Type File,metric
Extract Method,MEA,RandomForest,0.2,85,60,0.595,60,59,41,40,"[""{'max"", ""depth': 10, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",MEA,False,False,Accuracy
Extract Method,MEA,RandomForest,0.2,85,60,0.595,60,59,41,40,"[""{'max"", ""depth': 10, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",MEA,False,False,TN
Extract Method,MEA,SVM,0.2,85,60,0.5,0,100,0,100,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,False,False,TP
Extract Superclass,MEA,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",MEA,False,False,Accuracy
Extract Superclass,MEA,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",MEA,False,False,TN
Extract Superclass,MEA,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",MEA,False,False,TP
Inline Method,MEA,RandomForest,0.2,13,132,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,False,False,Accuracy
Inline Method,MEA,RandomForest,0.2,13,132,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,False,False,TN
Inline Method,MEA,RandomForest,0.2,13,132,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,False,False,TP
Move Attribute,MEA,SVM,0.2,10,135,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,False,False,Accuracy
Move Attribute,MEA,SVM,0.2,10,135,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,False,False,TN
Move Attribute,MEA,RandomForest,0.2,10,135,0.457,91,0,100,9,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",MEA,False,False,TP
Move Class,MEA,RandomForest,0.3,19,108,0.541,96,12,88,4,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,False,False,Accuracy
Move Class,MEA,RandomForest,0.2,22,123,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",MEA,False,False,TN
Move Class,MEA,RandomForest,0.3,19,108,0.541,96,12,88,4,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,False,False,TP
Move Method,MEA,RandomForest,0.3,7,120,0.619,90,33,67,10,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",MEA,False,False,Accuracy
Move Method,MEA,SVM,0.2,8,137,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,False,False,TN
Move Method,MEA,RandomForest,0.3,7,120,0.619,90,33,67,10,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",MEA,False,False,TP
Pull Up Method,MEA,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",MEA,False,False,Accuracy
Pull Up Method,MEA,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",MEA,False,False,TN
Pull Up Method,MEA,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",MEA,False,False,TP
Rename Package,MEA,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",MEA,False,False,Accuracy
Rename Package,MEA,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",MEA,False,False,TN
Rename Package,MEA,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",MEA,False,False,TP
Extract Method,MEA_single,RandomForest,0.4,59,37,0.521,40,64,36,60,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,False,True,Accuracy
Extract Method,MEA_single,RandomForest,0.2,78,50,0.408,42,40,60,58,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",MEA,False,True,TN
Extract Method,MEA_single,SVM,0.2,78,50,0.5,0,100,0,100,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,False,True,TP
Inline Method,MEA_single,SVM,0.2,11,117,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,False,True,Accuracy
Inline Method,MEA_single,SVM,0.2,11,117,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,False,True,TN
Inline Method,MEA_single,RandomForest,0.2,11,117,0.483,97,0,100,3,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",MEA,False,True,TP
Move Attribute,MEA_single,SVM,0.2,6,122,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,False,True,Accuracy
Move Attribute,MEA_single,SVM,0.2,6,122,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,False,True,TN
Move Attribute,MEA_single,RandomForest,0.2,6,122,0.452,90,0,100,10,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",MEA,False,True,TP
Move Class,MEA_single,RandomForest,0.2,14,114,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,False,True,Accuracy
Move Class,MEA_single,RandomForest,0.2,14,114,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,False,True,TN
Move Class,MEA_single,RandomForest,0.2,14,114,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,False,True,TP
Extract Method,MEA_split,RandomForest,0.2,85,37,0.522,32,73,27,68,"[""{'max"", ""depth': 10, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",MEA,True,False,Accuracy
Extract Method,MEA_split,RandomForest,0.5,53,37,0.504,34,67,33,66,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",MEA,True,False,TN
Extract Method,MEA_split,SVM,0.2,85,37,0.5,0,100,0,100,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,False,TP
Extract Superclass,MEA_split,RandomForest,0.2,6,12,0.562,62,50,50,38,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",MEA,True,False,Accuracy
Extract Superclass,MEA_split,SVM,0.2,6,12,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,False,TN
Extract Superclass,MEA_split,RandomForest,0.2,6,12,0.562,62,50,50,38,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",MEA,True,False,TP
Inline Method,MEA_split,RandomForest,0.5,8,16,0.551,73,38,62,27,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,True,False,Accuracy
Inline Method,MEA_split,SVM,0.2,12,24,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,False,TN
Inline Method,MEA_split,RandomForest,0.5,8,16,0.551,73,38,62,27,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,True,False,TP
Move Attribute,MEA_split,RandomForest,0.4,7,14,0.671,94,40,60,6,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,True,False,Accuracy
Move Attribute,MEA_split,SVM,0.2,9,18,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,False,TN
Move Attribute,MEA_split,RandomForest,0.3,8,16,0.646,79,50,50,21,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",MEA,True,False,TP
Move Class,MEA_split,RandomForest,0.3,18,36,0.678,69,67,33,31,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",MEA,True,False,Accuracy
Move Class,MEA_split,SVM,0.2,21,42,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,False,TN
Move Class,MEA_split,RandomForest,0.3,18,36,0.678,69,67,33,31,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",MEA,True,False,TP
Move Method,MEA_split,SVM,0.2,8,16,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,False,Accuracy
Move Method,MEA_split,SVM,0.2,8,16,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,False,TN
Move Method,MEA_split,RandomForest,0.2,8,16,0.458,92,0,100,8,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,True,False,TP
Pull Up Method,MEA_split,RandomForest,0.4,4,8,0.648,80,50,50,20,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",MEA,True,False,Accuracy
Pull Up Method,MEA_split,SVM,0.2,6,12,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,False,TN
Pull Up Method,MEA_split,RandomForest,0.4,4,8,0.648,80,50,50,20,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",MEA,True,False,TP
Rename Package,MEA_split,RandomForest,0.2,5,10,0.677,85,50,50,15,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,True,False,Accuracy
Rename Package,MEA_split,SVM,0.2,5,10,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,False,TN
Rename Package,MEA_split,RandomForest,0.2,5,10,0.677,85,50,50,15,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,True,False,TP
Extract Method,MEA_split_single,RandomForest,0.5,49,31,0.542,45,63,37,55,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,True,True,Accuracy
Extract Method,MEA_split_single,RandomForest,0.5,49,31,0.542,45,63,37,55,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,True,True,TN
Extract Method,MEA_split_single,SVM,0.2,78,31,0.5,0,100,0,100,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,True,TP
Inline Method,MEA_split_single,SVM,0.2,11,22,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,True,Accuracy
Inline Method,MEA_split_single,SVM,0.2,11,22,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,True,TN
Inline Method,MEA_split_single,RandomForest,0.4,8,16,0.445,72,17,83,28,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",MEA,True,True,TP
Move Attribute,MEA_split_single,RandomForest,0.2,5,10,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,True,True,Accuracy
Move Attribute,MEA_split_single,RandomForest,0.2,5,10,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,True,True,TN
Move Attribute,MEA_split_single,RandomForest,0.3,4,8,0.484,63,33,67,37,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",MEA,True,True,TP
Move Class,MEA_split_single,RandomForest,0.4,10,20,0.564,88,25,75,12,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",MEA,True,True,Accuracy
Move Class,MEA_split_single,SVM,0.2,14,28,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,True,TN
Move Class,MEA_split_single,RandomForest,0.3,12,24,0.506,68,33,67,32,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",MEA,True,True,TP
Extract Method,count,RandomForest,0.2,85,60,0.744,53,95,5,47,"[""{'max"", ""depth': 10, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",count,False,False,Accuracy
Extract Method,count,RandomForest,0.2,85,60,0.744,53,95,5,47,"[""{'max"", ""depth': 10, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",count,False,False,TN
Extract Method,count,SVM,0.4,64,45,0.5,0,100,0,100,"[""{'C': 0.1, 'kernel': 'rbf'}""]",count,False,False,TP
Extract Superclass,count,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,False,False,Accuracy
Extract Superclass,count,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,False,False,TN
Extract Superclass,count,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,False,False,TP
Inline Method,count,LogisticRegression,0.2,13,132,0.652,97,33,67,3,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,False,False,Accuracy
Inline Method,count,RandomForest,0.2,13,132,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",count,False,False,TN
Inline Method,count,LogisticRegression,0.2,13,132,0.652,97,33,67,3,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,False,False,TP
Move Attribute,count,LogisticRegression,0.3,8,119,0.615,98,25,75,2,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,False,False,Accuracy
Move Attribute,count,RandomForest,0.2,10,135,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,False,False,TN
Move Attribute,count,LogisticRegression,0.3,8,119,0.615,98,25,75,2,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,False,False,TP
Move Class,count,LogisticRegression,0.5,13,78,0.63,97,29,71,3,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,False,False,Accuracy
Move Class,count,RandomForest,0.4,16,93,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,False,False,TN
Move Class,count,LogisticRegression,0.5,13,78,0.63,97,29,71,3,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,False,False,TP
Move Method,count,RandomForest,0.3,7,120,0.638,94,33,67,6,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,False,False,Accuracy
Move Method,count,RandomForest,0.2,8,137,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,False,False,TN
Move Method,count,RandomForest,0.3,7,120,0.638,94,33,67,6,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,False,False,TP
Pull Up Method,count,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",count,False,False,Accuracy
Pull Up Method,count,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",count,False,False,TN
Pull Up Method,count,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",count,False,False,TP
Rename Package,count,RandomForest,0.2,6,139,1.0,100,100,0,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,False,False,Accuracy
Rename Package,count,RandomForest,0.2,6,139,1.0,100,100,0,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,False,False,TN
Rename Package,count,RandomForest,0.2,6,139,1.0,100,100,0,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,False,False,TP
Extract Method,count_single,RandomForest,0.2,78,50,0.808,67,95,5,33,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",count,False,True,Accuracy
Extract Method,count_single,RandomForest,0.2,78,50,0.808,67,95,5,33,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",count,False,True,TN
Extract Method,count_single,RandomForest,0.2,78,50,0.808,67,95,5,33,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",count,False,True,TP
Inline Method,count_single,LogisticRegression,0.4,8,88,0.557,95,17,83,5,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,False,True,Accuracy
